id,authentication_id,latitude,longitude,vendor_category_en,vendor_category_id,delivery_charge,serving_distance,is_open,OpeningTime,OpeningTime2,prepration_time,commission,is_haked_delivering,discount_percentage,status,verified,rank,language,vendor_rating,sunday_from_time1,sunday_to_time1,sunday_from_time2,sunday_to_time2,monday_from_time1,monday_to_time1,monday_from_time2,monday_to_time2,tuesday_from_time1,tuesday_to_time1,tuesday_from_time2,tuesday_to_time2,wednesday_from_time1,wednesday_to_time1,wednesday_from_time2,wednesday_to_time2,thursday_from_time1,thursday_to_time1,thursday_from_time2,thursday_to_time2,friday_from_time1,friday_to_time1,friday_from_time2,friday_to_time2,saturday_from_time1,saturday_to_time1,saturday_from_time2,saturday_to_time2,primary_tags,open_close_flags,vendor_tag,vendor_tag_name,one_click_vendor,country_id,city_id,created_at,updated_at,device_type,display_orders,total_orders_received,avg_rating,avg_order_value,popularity_score
4,118597,-0.588596154,0.754434091,Restaurants,2,0.0,6,1,11:00AM-11:30PM,-,15,0.0,Yes,0,1,1,11,EN,4.4,0:00:00,0:30:00,8:00:00,23:59:00,0:00:00,0:30:00,8:00:00,23:59:00,0:00:00,0:30:00,8:00:00,23:59:00,0:00:00,0:30:00,8:00:00,23:59:00,0:00:00,0:30:00,8:00:00,23:59:00,0:00:00,0:30:00,10:00:00,23:59:00,0:00:00,0:30:00,10:00:00,23:59:00,"{""primary_tags"":""4""}",1,"2,4,5,8,91,22,12,24,16,23","Arabic,Breakfast,Burgers,Desserts,Free Delivery,Grills,Lebanese,Salads,Sandwiches,Shawarma",Y,1,1,1/30/2023 14:42,4/7/2025 15:12,3,1,2137,2.5961628451099674,16.350257370145062,1283.238465138044
13,118608,-0.471653846,0.744470455,Restaurants,2,0.7,5,1,08:30AM-10:30PM,-,14,0.0,Yes,0,1,1,11,EN,4.7,0:00:00,1:30:00,8:00:00,23:59:00,0:00:00,1:30:00,8:00:00,23:59:00,0:00:00,1:30:00,8:00:00,23:59:00,0:00:00,1:30:00,8:00:00,19:30:00,0:00:00,1:30:00,8:00:00,19:30:00,0:00:00,1:30:00,8:00:00,23:59:00,0:00:00,1:30:00,8:00:00,23:59:00,"{""primary_tags"":""7""}",1,"4,41,51,34,27,15,24,16,28","Breakfast,Cakes,Crepes,Italian,Pasta,Pizzas,Salads,Sandwiches,Soups",Y,1,1,5/3/2023 12:32,4/5/2025 20:46,3,1,731,2.694938440492476,17.90218878248974,439.67797537619697
20,118616,-0.407526923,0.643680682,Restaurants,2,0.0,8,1,08:00AM-10:45PM,-,19,0.0,Yes,0,1,1,1,EN,4.5,8:00:00,22:45:00,Unknown,Unknown,8:00:00,22:45:00,Unknown,Unknown,8:00:00,22:45:00,Unknown,Unknown,8:00:00,22:45:00,Unknown,Unknown,8:00:00,22:45:00,Unknown,Unknown,8:00:00,22:45:00,Unknown,Unknown,8:00:00,22:45:00,Unknown,Unknown,"{""primary_tags"":""71""}",1,"4,8,91,10","Breakfast,Desserts,Free Delivery,Indian",Y,1,1,5/4/2023 22:28,4/7/2025 16:35,3,1,1587,2.651543793320731,23.33850031505986,953.2606175173282
23,118619,-0.585384615,0.753811364,Restaurants,2,0.0,5,1,10:59AM-10:30PM,-,16,0.0,Yes,0,1,1,11,EN,4.5,9:00:00,23:30:00,Unknown,Unknown,9:00:00,23:30:00,Unknown,Unknown,9:00:00,23:30:00,Unknown,Unknown,9:00:00,23:30:00,Unknown,Unknown,9:00:00,23:45:00,Unknown,Unknown,9:00:00,23:45:00,Unknown,Unknown,9:00:00,23:45:00,Unknown,Unknown,"{""primary_tags"":""46""}",1,"5,8,30,24","Burgers,Desserts,Fries,Salads",Y,1,1,5/6/2023 19:20,4/2/2025 0:56,3,1,920,2.747826086956522,23.201847826086958,553.0991304347826
28,118624,0.480601923,0.552850455,Restaurants,2,0.7,15,1,11:00AM-11:45PM,-,10,0.0,Yes,0,1,1,11,EN,4.4,0:01:00,0:30:00,11:00:00,23:59:00,0:01:00,0:30:00,11:00:00,23:59:00,0:01:00,0:30:00,11:00:00,23:59:00,0:01:00,0:30:00,11:00:00,23:59:00,0:01:00,0:30:00,11:00:00,23:59:00,0:01:00,1:30:00,17:45:00,23:59:00,0:01:00,1:30:00,17:45:00,23:59:00,"{""primary_tags"":""32""}",1,5,Burgers,Y,1,1,5/17/2023 22:12,4/5/2025 15:57,3,1,1537,2.468445022771633,12.937670787247885,923.1873780091086
33,118629,-0.494653846,0.743318182,Restaurants,2,0.7,6,1,11:00AM-10:30PM,-,17,0.0,Yes,0,1,1,11,EN,4.6,8:00:00,23:59:00,0:00:00,1:00:00,8:00:00,23:59:00,0:00:00,1:00:00,9:00:00,23:59:00,0:00:00,1:00:00,9:00:00,23:59:00,0:00:00,1:00:00,8:00:00,23:59:00,0:00:00,1:00:00,8:00:00,23:59:00,0:00:00,1:00:00,8:30:00,23:59:00,0:00:00,1:00:00,"{""primary_tags"":""51""}",1,"8,42","Desserts,Mexican",Y,1,1,5/24/2023 17:23,4/7/2025 15:04,3,1,1938,2.5722394220846234,21.886738906088752,1163.8288957688337
43,118639,-0.115009615,0.545973409,Restaurants,2,0.7,15,1,11:00AM-11:45PM,-,15,0.0,Yes,0,1,1,11,EN,4.3,0:01:00,0:30:00,11:00:00,23:59:00,0:01:00,0:30:00,11:00:00,23:59:00,0:01:00,0:30:00,11:00:00,23:59:00,0:01:00,0:30:00,11:00:00,23:59:00,0:01:00,0:30:00,11:00:00,23:59:00,0:01:00,1:30:00,17:45:00,23:59:00,0:01:00,1:30:00,17:45:00,23:59:00,"{""primary_tags"":""8""}",1,"1,5,30,16","American,Burgers,Fries,Sandwiches",Y,1,1,6/20/2023 12:28,4/7/2025 16:56,3,1,1083,2.314866112650046,13.005540166204986,650.72594644506
44,118640,-0.936555769,0.081932955,Restaurants,2,0.7,15,1,11:00AM-11:45PM,-,14,0.0,Yes,0,1,1,11,EN,4.3,0:01:00,0:30:00,11:00:00,23:59:00,0:01:00,0:30:00,11:00:00,23:59:00,0:01:00,0:30:00,11:00:00,23:59:00,0:01:00,0:30:00,11:00:00,23:59:00,0:01:00,0:30:00,11:00:00,23:59:00,0:01:00,1:30:00,17:45:00,23:59:00,0:01:00,1:30:00,17:45:00,23:59:00,"{""primary_tags"":""8""}",1,"1,5,30,16","American,Burgers,Fries,Sandwiches",Y,1,1,6/20/2023 13:11,4/7/2025 20:09,3,1,1417,2.341566690190543,11.448906139731829,851.1366266760762
55,118651,-1.170153846,0.103477273,Restaurants,2,0.7,10,1,09:00AM-11:30PM,-,19,0.0,Yes,0,1,1,11,EN,4.5,9:00:00,23:00:00,Unknown,Unknown,9:00:00,23:00:00,Unknown,Unknown,9:00:00,23:00:00,Unknown,Unknown,9:00:00,23:00:00,Unknown,Unknown,9:00:00,23:00:00,Unknown,Unknown,11:59:00,23:59:00,Unknown,Unknown,11:59:00,23:59:00,Unknown,Unknown,"{""primary_tags"":""21""}",1,"4,8,22,32,24,16,28","Breakfast,Desserts,Grills,Milkshakes,Salads,Sandwiches,Soups",Y,1,1,7/22/2023 13:18,4/2/2025 19:49,3,1,751,2.1624500665778963,17.651131824234355,451.4649800266311
66,118662,0.487488462,0.56505,Restaurants,2,0.0,15,1,05:00PM-11:00PM,-,20,0.0,Yes,10,1,1,1,EN,4.0,10:00:00,21:45:00,Unknown,Unknown,10:00:00,21:45:00,Unknown,Unknown,10:00:00,21:45:00,Unknown,Unknown,10:00:00,21:45:00,Unknown,Unknown,10:00:00,21:45:00,Unknown,Unknown,18:00:00,22:45:00,Unknown,Unknown,18:00:00,22:45:00,Unknown,Unknown,"{""primary_tags"":""271""}",1,"4,5,8,10,24","Breakfast,Burgers,Desserts,Indian,Salads",Y,1,1,8/9/2023 19:26,4/2/2025 11:41,3,1,592,2.6638513513513513,19.79256756756757,356.26554054054054
